year_month,age,male,female,total,source_url
202102,92,51,134,185,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,18,741,701,1442,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,43,792,797,1589,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,68,673,723,1396,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,93,37,115,152,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,19,662,654,1316,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,44,803,874,1677,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,69,656,773,1429,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,94,23,88,111,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,20,643,641,1284,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,45,874,877,1751,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,70,665,724,1389,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,95,10,80,90,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,21,665,640,1305,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,46,932,969,1901,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,71,610,635,1245,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,96,11,52,63,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,22,673,622,1295,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,47,934,1006,1940,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,72,609,660,1269,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,97,16,37,53,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,23,630,643,1273,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,48,894,906,1800,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,73,621,656,1277,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,98,6,39,45,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,24,646,603,1249,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,49,854,895,1749,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,74,320,361,681,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,99,4,26,30,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,100,1,20,21,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,101,3,14,17,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202103,0,629,585,1214,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202103nenrei-zentai.pdf
202103,25,630,616,1246,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202103nenrei-zentai.pdf
202103,50,805,892,1697,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202103nenrei-zentai.pdf
